"","Contract.Number","Plan.Benefit.Package","Contract.Name","Plan.Type","Average.Part.C.Risk.Score","Average.A.B.PM.PM.Payment","Average.Rebate.PM.PM.Payment","date","payment","rebate","Plan.ID","contract_plan"
"1","H0028",1,"CHA HMO, INC.","HMO",1.01,"$658.86 ","$75.63 ",2016-06-30,658.86,75.63,1,"H0028_1"
"2","H0028",4,"CHA HMO, INC.","HMO",0.853,"$623.15 ","$79.83 ",2016-06-30,623.15,79.83,4,"H0028_4"
"3","H0104",12,"BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local PPO",0.924,"$755.77 ","$6.41 ",2016-06-30,755.77,6.41,12,"H0104_12"
"4","H0104",13,"BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local PPO",0.894,"$740.87 ","$8.70 ",2016-06-30,740.87,8.7,13,"H0104_13"
"5","H0104",14,"BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local PPO",0.846,"$662.32 ","$63.82 ",2016-06-30,662.32,63.82,14,"H0104_14"
"6","H0104",15,"BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local PPO",1.077,"$773.54 ","$0.00 ",2016-06-30,773.54,0,15,"H0104_15"
"7","H0107",1,"HEALTH CARE SERVICE CORPORATION","Local PPO",0.707,"$603.36 ","$92.59 ",2016-06-30,603.36,92.59,1,"H0107_1"
"8","H0107",2,"HEALTH CARE SERVICE CORPORATION","Local PPO",0.859,"$625.08 ","$90.99 ",2016-06-30,625.08,90.99,2,"H0107_2"
"9","H0107",801,"HEALTH CARE SERVICE CORPORATION","Local PPO",0.965,"$697.35 ","$50.30 ",2016-06-30,697.35,50.3,801,"H0107_801"
"10","H0141",4,"MCLAREN HEALTH PLAN, INC.","HMO",0.923,"$715.16 ","$60.32 ",2016-06-30,715.16,60.32,4,"H0141_4"
"11","H0141",5,"MCLAREN HEALTH PLAN, INC.","HMO",1.305,"$690.38 ","$61.36 ",2016-06-30,690.38,61.36,5,"H0141_5"
"12","H0150",7,"HEALTHSPRING OF ALABAMA, INC.","HMO",1.442,"$677.30 ","$84.54 ",2016-06-30,677.3,84.54,7,"H0150_7"
"13","H0150",12,"HEALTHSPRING OF ALABAMA, INC.","HMO",0.955,"$644.87 ","$77.42 ",2016-06-30,644.87,77.42,12,"H0150_12"
"14","H0150",24,"HEALTHSPRING OF ALABAMA, INC.","HMO",1.096,"$623.90 ","$103.55 ",2016-06-30,623.9,103.55,24,"H0150_24"
"15","H0150",25,"HEALTHSPRING OF ALABAMA, INC.","HMO",1.073,"$686.53 ","$65.10 ",2016-06-30,686.53,65.1,25,"H0150_25"
"16","H0151",1,"UNITEDHEALTHCARE OF ALABAMA, INC.","HMO",1.181,"$650.00 ","$68.61 ",2016-06-30,650,68.61,1,"H0151_1"
"17","H0151",15,"UNITEDHEALTHCARE OF ALABAMA, INC.","HMO",1.478,"$712.54 ","$39.16 ",2016-06-30,712.54,39.16,15,"H0151_15"
"18","H0151",25,"UNITEDHEALTHCARE OF ALABAMA, INC.","HMO",1.101,"$631.27 ","$75.71 ",2016-06-30,631.27,75.71,25,"H0151_25"
"19","H0151",27,"UNITEDHEALTHCARE OF ALABAMA, INC.","HMO",1.114,"$656.64 ","$62.85 ",2016-06-30,656.64,62.85,27,"H0151_27"
"20","H0151",801,"UNITEDHEALTHCARE OF ALABAMA, INC.","HMO",1.209,"$621.02 ","$83.95 ",2016-06-30,621.02,83.95,801,"H0151_801"
"21","H0154",8,"VIVA HEALTH, INC.","HMO",1.01,"$699.00 ","$47.83 ",2016-06-30,699,47.83,8,"H0154_8"
"22","H0154",11,"VIVA HEALTH, INC.","HMO",1.255,"$702.09 ","$48.20 ",2016-06-30,702.09,48.2,11,"H0154_11"
"23","H0154",12,"VIVA HEALTH, INC.","HMO",1.394,"$696.20 ","$59.37 ",2016-06-30,696.2,59.37,12,"H0154_12"
"24","H0154",14,"VIVA HEALTH, INC.","HMO",0.955,"$610.71 ","$103.30 ",2016-06-30,610.71,103.3,14,"H0154_14"
"25","H0154",15,"VIVA HEALTH, INC.","HMO",1.054,"$655.30 ","$70.64 ",2016-06-30,655.3,70.64,15,"H0154_15"
"26","H0174",1,"TODAY'S OPTIONS OF TEXAS, INC.","HMO",1.322,"$774.30 ","$165.64 ",2016-06-30,774.3,165.64,1,"H0174_1"
"27","H0251",2,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","HMO",1.493,"$695.43 ","$48.51 ",2016-06-30,695.43,48.51,2,"H0251_2"
"28","H0294",2,"CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY","Local PPO",1.435,"$706.61 ","$61.83 ",2016-06-30,706.61,61.83,2,"H0294_2"
"29","H0294",4,"CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY","Local PPO",0.915,"$745.33 ","$16.30 ",2016-06-30,745.33,16.3,4,"H0294_4"
"30","H0302",1,"MEDISUN, INC.","HMO",1.108,"$603.08 ","$147.64 ",2016-06-30,603.08,147.64,1,"H0302_1"
"31","H0302",6,"MEDISUN, INC.","HMO",0.9,"$599.18 ","$130.38 ",2016-06-30,599.18,130.38,6,"H0302_6"
"32","H0302",7,"MEDISUN, INC.","HMO",1.203,"$643.65 ","$129.10 ",2016-06-30,643.65,129.1,7,"H0302_7"
"33","H0302",8,"MEDISUN, INC.","HMO",0.9,"$598.21 ","$143.44 ",2016-06-30,598.21,143.44,8,"H0302_8"
"34","H0321",2,"ARIZONA PHYSICIANS IPA, INC.","HMO",1.317,"$691.03 ","$47.51 ",2016-06-30,691.03,47.51,2,"H0321_2"
"35","H0321",4,"ARIZONA PHYSICIANS IPA, INC.","HMO",2.697,"$721.89 ","$48.87 ",2016-06-30,721.89,48.87,4,"H0321_4"
"36","H0332",1,"KS PLAN ADMINISTRATORS, LLC","HMO",0.952,"$781.65 ","$128.41 ",2016-06-30,781.65,128.41,1,"H0332_1"
"37","H0332",2,"KS PLAN ADMINISTRATORS, LLC","HMO",0.927,"$709.92 ","$179.04 ",2016-06-30,709.92,179.04,2,"H0332_2"
