CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,,CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B TOTAL REIMBURSEMENT
24000,MINNESOTA,AITKIN,"2,034","8,375,995",343.17,"8,066,473",330.48,"144,412","107,518","57,590","1,854","9,716,462",436.73,,24000,MINNESOTA,AITKIN,"7,896,663","7,676,957","131,682","88,025",0,"9,231,541"
24010,MINNESOTA,ANOKA,"17,502","72,296,403",344.23,"67,391,676",320.88,"2,289,465","1,585,881","1,029,378","13,388","64,097,067",398.97,,24010,MINNESOTA,ANOKA,"77,188,832","73,828,043","1,713,947","1,646,843",0,"34,400,679"
24020,MINNESOTA,BECKER,"3,112","12,590,494",337.15,"12,072,253",323.27,"202,216","232,268","83,756","2,649","14,172,303",445.84,,24020,MINNESOTA,BECKER,"11,621,998","11,171,109","228,277","222,613",0,"11,987,023"
24030,MINNESOTA,BELTRAMI,"4,845","19,588,987",336.93,"18,491,394",318.05,"358,227","644,297","95,064","4,156","23,732,792",475.87,,24030,MINNESOTA,BELTRAMI,"12,698,655","11,971,722","286,528","440,405",0,"14,447,076"
24040,MINNESOTA,BENTON,"2,009","7,330,536",304.07,"7,009,045",290.74,"112,147","134,850","74,490","1,586","7,836,039",411.73,,24040,MINNESOTA,BENTON,"11,486,100","11,008,969","259,642","217,489",0,"5,626,130"
24050,MINNESOTA,BIG STONE,657,"3,539,172",448.91,"3,475,697",440.85,"24,376","27,011","12,086",611,"4,072,651",555.46,,24050,MINNESOTA,BIG STONE,"2,541,785","2,451,886","59,884","30,016",0,"3,701,555"
24060,MINNESOTA,BLUE EARTH,"5,657","23,995,552",353.48,"22,274,913",328.13,"867,721","352,462","500,453","4,951","21,809,958",367.10,,24060,MINNESOTA,BLUE EARTH,"18,787,152","17,828,584","701,036","257,532",0,"9,124,961"
24070,MINNESOTA,BROWN,"2,720","11,137,469",341.22,"10,579,604",324.13,"293,143","111,077","153,644","2,431","14,291,237",489.90,,24070,MINNESOTA,BROWN,"10,249,312","9,812,877","311,933","124,502",0,"9,232,128"
24080,MINNESOTA,CARLTON,"3,375","16,415,464",405.32,"15,757,255",389.07,"274,318","291,508","92,379","2,995","15,751,085",438.26,,24080,MINNESOTA,CARLTON,"10,971,552","10,584,587","178,235","208,730",0,"9,434,772"
24090,MINNESOTA,CARVER,"4,245","15,444,433",303.19,"14,662,218",287.83,"365,358","190,747","226,107","3,265","14,709,961",375.45,,24090,MINNESOTA,CARVER,"21,414,245","20,594,475","543,340","276,430",0,"9,836,065"
24100,MINNESOTA,CASS,"3,399","15,242,981",373.71,"14,543,481",356.56,"245,448","358,398","95,651","2,908","15,962,543",457.43,,24100,MINNESOTA,CASS,"9,664,519","9,288,298","175,643","200,578",0,"10,380,185"
24110,MINNESOTA,CHIPPEWA,"1,016","5,354,308",439.17,"5,168,535",423.93,"94,977","53,944","36,849",877,"5,146,615",489.04,,24110,MINNESOTA,CHIPPEWA,"5,431,715","5,278,849","88,589","64,276",0,"4,843,834"
24120,MINNESOTA,CHISAGO,"4,039","16,552,584",341.52,"15,173,068",313.05,"766,796","326,838","285,880","3,210","15,241,225",395.67,,24120,MINNESOTA,CHISAGO,"16,164,136","15,341,630","514,408","308,098",0,"11,352,734"
24130,MINNESOTA,CLAY,"4,651","15,295,945",274.06,"14,423,617",258.43,"405,061","333,437","133,827","3,867","19,136,929",412.40,,24130,MINNESOTA,CLAY,"12,287,426","11,617,912","390,571","278,943",0,"12,807,610"
24140,MINNESOTA,CLEARWATER,884,"3,484,938",328.52,"3,282,659",309.45,"80,673","95,965","25,640",762,"4,247,913",464.56,,24140,MINNESOTA,CLEARWATER,"3,030,552","2,879,159","64,066","87,327",0,"3,952,693"
24150,MINNESOTA,COOK,724,"3,276,265",377.10,"3,139,699",361.38,"60,245","58,545","17,773",614,"2,659,565",360.96,,24150,MINNESOTA,COOK,"1,730,663","1,652,590","53,110","24,963",0,"2,296,603"
24160,MINNESOTA,COTTONWOOD,"1,003","4,204,230",349.30,"3,985,735",331.15,"119,858","53,186","45,446",896,"5,338,425",496.51,,24160,MINNESOTA,COTTONWOOD,"2,877,354","2,788,294","57,205","31,855",0,"3,005,470"
24170,MINNESOTA,CROW WING,"7,026","27,743,698",329.06,"26,603,192",315.53,"488,378","459,457","192,668","6,229","31,423,078",420.39,,24170,MINNESOTA,CROW WING,"26,767,214","25,850,291","463,979","452,943",0,"26,646,905"
24180,MINNESOTA,DAKOTA,"18,477","69,398,865",313.00,"63,648,465",287.06,"2,879,641","1,521,091","1,349,665","14,316","69,026,679",401.80,,24180,MINNESOTA,DAKOTA,"66,993,098","63,149,010","2,427,016","1,417,072",0,"37,521,866"
24190,MINNESOTA,DODGE,"1,608","7,976,060",413.35,"6,666,133",345.47,"814,056","60,141","435,728","1,374","5,209,289",315.94,,24190,MINNESOTA,DODGE,"6,819,161","6,107,671","664,951","46,539",0,"2,202,104"
24200,MINNESOTA,DOUGLAS,"3,517","14,461,397",342.65,"13,856,219",328.32,"275,214","199,665","130,297","3,085","15,781,022",426.28,,24200,MINNESOTA,DOUGLAS,"19,687,703","19,153,059","276,458","258,186",0,"18,135,557"
24210,MINNESOTA,FARIBAULT,"1,440","6,829,269",395.21,"6,348,345",367.38,"249,617","61,434","169,871","1,272","6,616,494",433.47,,24210,MINNESOTA,FARIBAULT,"8,079,409","7,630,408","373,537","75,464",0,"5,438,849"
