CODE,STATE,COUNTY,FIPS,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,,CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B TOTAL REIMBURSEMENT
24000,MINNESOTA,AITKIN,27001,2034.00,8375995.00,343.17,8066473.00,330.48,144412.00,107518.00,57590.00,1854.00,9716462.00,436.73,,24000,MINNESOTA,AITKIN,7896663.00,7676957.00,131682.00,88025.00,0.00,9231541.00
24010,MINNESOTA,ANOKA,27003,17502.00,72296403.00,344.23,67391676.00,320.88,2289465.00,1585881.00,1029378.00,13388.00,64097067.00,398.97,,24010,MINNESOTA,ANOKA,77188832.00,73828043.00,1713947.00,1646843.00,0.00,34400679.00
24020,MINNESOTA,BECKER,27005,3112.00,12590494.00,337.15,12072253.00,323.27,202216.00,232268.00,83756.00,2649.00,14172303.00,445.84,,24020,MINNESOTA,BECKER,11621998.00,11171109.00,228277.00,222613.00,0.00,11987023.00
24030,MINNESOTA,BELTRAMI,27007,4845.00,19588987.00,336.93,18491394.00,318.05,358227.00,644297.00,95064.00,4156.00,23732792.00,475.87,,24030,MINNESOTA,BELTRAMI,12698655.00,11971722.00,286528.00,440405.00,0.00,14447076.00
24040,MINNESOTA,BENTON,27009,2009.00,7330536.00,304.07,7009045.00,290.74,112147.00,134850.00,74490.00,1586.00,7836039.00,411.73,,24040,MINNESOTA,BENTON,11486100.00,11008969.00,259642.00,217489.00,0.00,5626130.00
24050,MINNESOTA,BIG STONE,27011,657.00,3539172.00,448.91,3475697.00,440.85,24376.00,27011.00,12086.00,611.00,4072651.00,555.46,,24050,MINNESOTA,BIG STONE,2541785.00,2451886.00,59884.00,30016.00,0.00,3701555.00
24060,MINNESOTA,BLUE EARTH,27013,5657.00,23995552.00,353.48,22274913.00,328.13,867721.00,352462.00,500453.00,4951.00,21809958.00,367.10,,24060,MINNESOTA,BLUE EARTH,18787152.00,17828584.00,701036.00,257532.00,0.00,9124961.00
24070,MINNESOTA,BROWN,27015,2720.00,11137469.00,341.22,10579604.00,324.13,293143.00,111077.00,153644.00,2431.00,14291237.00,489.90,,24070,MINNESOTA,BROWN,10249312.00,9812877.00,311933.00,124502.00,0.00,9232128.00
24080,MINNESOTA,CARLTON,27017,3375.00,16415464.00,405.32,15757255.00,389.07,274318.00,291508.00,92379.00,2995.00,15751085.00,438.26,,24080,MINNESOTA,CARLTON,10971552.00,10584587.00,178235.00,208730.00,0.00,9434772.00
24090,MINNESOTA,CARVER,27019,4245.00,15444433.00,303.19,14662218.00,287.83,365358.00,190747.00,226107.00,3265.00,14709961.00,375.45,,24090,MINNESOTA,CARVER,21414245.00,20594475.00,543340.00,276430.00,0.00,9836065.00
24100,MINNESOTA,CASS,27021,3399.00,15242981.00,373.71,14543481.00,356.56,245448.00,358398.00,95651.00,2908.00,15962543.00,457.43,,24100,MINNESOTA,CASS,9664519.00,9288298.00,175643.00,200578.00,0.00,10380185.00
24110,MINNESOTA,CHIPPEWA,27023,1016.00,5354308.00,439.17,5168535.00,423.93,94977.00,53944.00,36849.00,877.00,5146615.00,489.04,,24110,MINNESOTA,CHIPPEWA,5431715.00,5278849.00,88589.00,64276.00,0.00,4843834.00
24120,MINNESOTA,CHISAGO,27025,4039.00,16552584.00,341.52,15173068.00,313.05,766796.00,326838.00,285880.00,3210.00,15241225.00,395.67,,24120,MINNESOTA,CHISAGO,16164136.00,15341630.00,514408.00,308098.00,0.00,11352734.00
24130,MINNESOTA,CLAY,27027,4651.00,15295945.00,274.06,14423617.00,258.43,405061.00,333437.00,133827.00,3867.00,19136929.00,412.40,,24130,MINNESOTA,CLAY,12287426.00,11617912.00,390571.00,278943.00,0.00,12807610.00
24140,MINNESOTA,CLEARWATER,27029,884.00,3484938.00,328.52,3282659.00,309.45,80673.00,95965.00,25640.00,762.00,4247913.00,464.56,,24140,MINNESOTA,CLEARWATER,3030552.00,2879159.00,64066.00,87327.00,0.00,3952693.00
24150,MINNESOTA,COOK,27031,724.00,3276265.00,377.10,3139699.00,361.38,60245.00,58545.00,17773.00,614.00,2659565.00,360.96,,24150,MINNESOTA,COOK,1730663.00,1652590.00,53110.00,24963.00,0.00,2296603.00
24160,MINNESOTA,COTTONWOOD,27033,1003.00,4204230.00,349.30,3985735.00,331.15,119858.00,53186.00,45446.00,896.00,5338425.00,496.51,,24160,MINNESOTA,COTTONWOOD,2877354.00,2788294.00,57205.00,31855.00,0.00,3005470.00
24170,MINNESOTA,CROW WING,27035,7026.00,27743698.00,329.06,26603192.00,315.53,488378.00,459457.00,192668.00,6229.00,31423078.00,420.39,,24170,MINNESOTA,CROW WING,26767214.00,25850291.00,463979.00,452943.00,0.00,26646905.00
24180,MINNESOTA,DAKOTA,27037,18477.00,69398865.00,313.00,63648465.00,287.06,2879641.00,1521091.00,1349665.00,14316.00,69026679.00,401.80,,24180,MINNESOTA,DAKOTA,66993098.00,63149010.00,2427016.00,1417072.00,0.00,37521866.00
24190,MINNESOTA,DODGE,27039,1608.00,7976060.00,413.35,6666133.00,345.47,814056.00,60141.00,435728.00,1374.00,5209289.00,315.94,,24190,MINNESOTA,DODGE,6819161.00,6107671.00,664951.00,46539.00,0.00,2202104.00
24200,MINNESOTA,DOUGLAS,27041,3517.00,14461397.00,342.65,13856219.00,328.32,275214.00,199665.00,130297.00,3085.00,15781022.00,426.28,,24200,MINNESOTA,DOUGLAS,19687703.00,19153059.00,276458.00,258186.00,0.00,18135557.00
24210,MINNESOTA,FARIBAULT,27043,1440.00,6829269.00,395.21,6348345.00,367.38,249617.00,61434.00,169871.00,1272.00,6616494.00,433.47,,24210,MINNESOTA,FARIBAULT,8079409.00,7630408.00,373537.00,75464.00,0.00,5438849.00
24220,MINNESOTA,FILLMORE,27045,2289.00,10117562.00,368.34,8596955.00,312.98,942867.00,90921.00,486817.00,2042.00,9061180.00,369.78,,24220,MINNESOTA,FILLMORE,7477573.00,6702918.00,707121.00,67534.00,0.00,5949352.00
24230,MINNESOTA,FREEBORN,27047,2794.00,13229098.00,394.57,11738200.00,350.10,881437.00,142198.00,467261.00,2447.00,11324680.00,385.67,,24230,MINNESOTA,FREEBORN,14157289.00,12997818.00,1003216.00,156254.00,0.00,10334482.00
